Fiscal Year,Fiscal Quarter,Fiscal Month,Email Program Name,Sent,Bounced,Delivered,Delivered%,Opens,Open Rate%,Clicks,CTR%,Link Clicks,Marketing Play,Play Num,Solution Area,Solution Area Num,Marketing Play Product,Product Num,Row#
FY21,FY21-Q3,2/1/2021 0:00,,"41,360","1,262","40,098",96.95%,"6,688",16.68%,709,1.77%,"1,349",Modernize Security and Defend Against Threats,12,Security,8,Security,5,1691
FY21,FY21-Q3,2/1/2021 0:00,,"17,330",33,"17,297",99.81%,"3,224",18.64%,305,1.76%,529,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1690
FY21,FY21-Q3,2/1/2021 0:00,,"48,554",630,"47,924",98.70%,"7,735",16.14%,554,1.16%,960,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1689
FY21,FY21-Q3,2/1/2021 0:00,,"20,342",515,"19,827",97.47%,"4,493",22.66%,662,3.34%,"1,307",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1060
FY21,FY21-Q3,2/1/2021 0:00,,"7,258",17,"7,241",99.77%,"2,053",28.35%,394,5.44%,645,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1059
FY21,FY21-Q3,2/1/2021 0:00,,"10,322",94,"10,228",99.09%,"2,830",27.67%,459,4.49%,768,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1058
FY21,FY21-Q3,2/1/2021 0:00,,"17,754",394,"17,360",97.78%,"3,879",22.34%,497,2.86%,"1,018",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1057
FY21,FY21-Q3,2/1/2021 0:00,,"10,264",14,"10,250",99.86%,"2,713",26.47%,451,4.40%,730,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1056
FY21,FY21-Q3,2/1/2021 0:00,,"9,815",115,"9,700",98.83%,"2,687",27.70%,362,3.73%,625,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1055
FY21,FY21-Q3,2/1/2021 0:00,,"20,936",382,"20,554",98.18%,"4,039",19.65%,450,2.19%,839,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,1054
FY21,FY21-Q3,2/1/2021 0:00,,"3,741",104,"3,637",97.22%,864,23.76%,31,0.85%,53,Surface Broad Reach,25,Modern Work,6,Surface,11,498
FY21,FY21-Q3,2/1/2021 0:00,,"2,406",72,"2,334",97.01%,537,23.01%,28,1.20%,54,Surface Broad Reach,25,Modern Work,6,Surface,11,497
FY21,FY21-Q3,2/1/2021 0:00,,"1,580",53,"1,527",96.65%,367,24.03%,11,0.72%,24,Surface Broad Reach,25,Modern Work,6,Surface,11,496
FY21,FY21-Q3,2/1/2021 0:00,,"12,762",163,"12,599",98.72%,"3,012",23.91%,210,1.67%,417,Refresh Your Devices,26,Modern Work,6,Surface,11,346
FY21,FY21-Q3,2/1/2021 0:00,,"34,788",130,"34,658",99.63%,"8,505",24.54%,505,1.46%,"1,096",Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,274
FY21,FY21-Q3,2/1/2021 0:00,,"21,238",192,"21,046",99.10%,"4,307",20.46%,231,1.10%,344,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,273
FY21,FY21-Q3,2/1/2021 0:00,,"35,786",380,"35,406",98.94%,"6,663",18.82%,374,1.06%,559,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,272
FY21,FY21-Q3,2/1/2021 0:00,,91,0,91,100.00%,30,32.97%,7,7.69%,11,Education,6,Digital Transformation and Industry,4,Education,3,182
FY21,FY21-Q3,1/1/2021 0:00,,212,0,212,100.00%,39,18.40%,3,1.42%,4,Win with Analytics,2,Data and AI,2,Azure,1,5245
FY21,FY21-Q3,1/1/2021 0:00,,"181,994","4,072","177,922",97.76%,"45,353",25.49%,"6,971",3.92%,"13,679",Win with Analytics,2,Data and AI,2,Azure,1,5244
FY21,FY21-Q3,1/1/2021 0:00,,"157,504","1,980","155,524",98.74%,"31,642",20.35%,"2,370",1.52%,"4,000",Win with Analytics,2,Data and AI,2,Azure,1,5243
FY21,FY21-Q3,1/1/2021 0:00,,"10,688",485,"10,203",95.46%,"1,489",14.59%,85,0.83%,143,Win with Analytics,2,Data and AI,2,Azure,1,5242
FY21,FY21-Q3,1/1/2021 0:00,,"5,488",411,"5,077",92.51%,780,15.36%,39,0.77%,58,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4747
FY21,FY21-Q3,1/1/2021 0:00,,"48,883",635,"48,248",98.70%,"11,795",24.45%,556,1.15%,872,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4746
FY21,FY21-Q3,1/1/2021 0:00,,"31,730",395,"31,335",98.76%,"6,738",21.50%,302,0.96%,418,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4745
FY21,FY21-Q3,1/1/2021 0:00,,"43,146",448,"42,698",98.96%,"9,919",23.23%,374,0.88%,574,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4744
FY21,FY21-Q3,1/1/2021 0:00,,"32,583",311,"32,272",99.05%,"3,749",11.62%,224,0.69%,363,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4743
FY21,FY21-Q3,1/1/2021 0:00,,"51,296","1,594","49,702",96.89%,"10,381",20.89%,737,1.48%,"1,213",Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4429
FY21,FY21-Q3,1/1/2021 0:00,,"26,199",562,"25,637",97.85%,"4,594",17.92%,127,0.50%,309,Optimize Financial and Operating Models,28,Business Applications,1,Dynamics 365,2,4095
FY21,FY21-Q3,1/1/2021 0:00,,"29,837",780,"29,057",97.39%,"6,213",21.38%,716,2.46%,"1,330",Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,4055
FY21,FY21-Q3,1/1/2021 0:00,,"18,294",700,"17,594",96.17%,"3,314",18.84%,230,1.31%,360,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,4054
